UserName,Check,Severity,Points,Detail,Recommendation
test-admin,MissingMFA,CRITICAL,10,User has no MFA device attached,Enable MFA immediately for this user
test-no-mfa,MissingMFA,CRITICAL,10,User has no MFA device attached,Enable MFA immediately for this user
test-old-key,MissingMFA,CRITICAL,10,User has no MFA device attached,Enable MFA immediately for this user
test-wildcard,MissingMFA,CRITICAL,10,User has no MFA device attached,Enable MFA immediately for this user
amandeep-admin,AdminPermissions,HIGH,8,User has AdministratorAccess policy attached,Replace with a least-privilege policy scoped to job role
test-admin,AdminPermissions,HIGH,8,User has AdministratorAccess policy attached,Replace with a least-privilege policy scoped to job role
test-old-key,OldAccessKey,HIGH,8,Active access key — age: 113 days,Rotate or disable this key
test-wildcard,WildcardPermissions,HIGH,8,Inline policy 'wildcard-policy' contains wildcard Action or Resource (*),Replace wildcard statements with specific actions and resources scoped to job role
[ROLE] test-broad-trust,RiskTrustPolicy,HIGH,8,Role 'test-broad-trust' trust policy allows account root principal (arn:aws:iam::238483662674:root) — entire AWS account can assume this role,Restrict the trust policy Principal to specific trusted roles or services only
amandeep-admin,AccessKeyPresent,MEDIUM,5,Active access key — age: 61 days,Monitor key age; rotate before 90 days
